"","views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate"
"36529",43647,1,782,"2016-08-18","2018-10-09",36528,0,"7",0
"149429",2093,0,1337,"2015-02-13","2018-10-12",149428,0,"1",1
"103618",2838,1,811,"2016-07-23","2018-10-12",103617,0,"1",1
"27398",129199,0,1234,"2015-05-27","2018-10-12",27397,0,"1",0
"41499",10467,0,1754,"2013-12-23","2018-10-12",41498,0,"1",1
"80326",25240,1,1304,"2015-03-09","2018-10-03",80325,0,"1",0
"96067",6639,0,1506,"2014-08-24","2018-10-08",96066,0,"1",1
"70811",1209,0,2090,"2012-11-21","2018-08-12",70810,0,"11",0
"5014",770,1,616,"2017-02-03","2018-10-12",5013,0,"18",0
"138395",3616,1,1380,"2014-12-29","2018-10-09",138394,0,"1",1
"57002",679,1,484,"2017-06-04","2018-10-01",57001,0,"1",0
"164561",807,0,1615,"2014-05-11","2018-10-12",164560,0,"1",0
"61311",17068,1,1720,"2014-01-26","2018-10-12",61310,0,"1",1
"1754",5949,1,817,"2016-05-24","2018-08-19",1753,0,"1",1
"47630",1136,0,1145,"2015-08-15","2018-10-03",47629,0,"1",1
"108484",32505,1,1209,"2015-06-21","2018-10-12",108483,0,"1",1
"7883",5047,1,1397,"2014-12-15","2018-10-12",7882,0,"1",0
"132228",35488,1,1582,"2014-06-12","2018-10-11",132227,0,"1",1
"93299",2560,1,2473,"2012-01-02","2018-10-10",93298,0,"1",0
"90955",12745,1,2109,"2013-01-02","2018-10-12",90954,0,"2",0
"66701",2673,1,1263,"2015-04-21","2018-10-05",66700,0,"1",0
"99560",1789,0,1811,"2013-10-27","2018-10-12",99559,0,"8",0
"102450",599,0,1268,"2015-04-09","2018-09-28",102449,0,"4",0
"126820",361,0,1060,"2015-10-19","2018-09-13",126819,0,"1",0
"14037",1422,1,1962,"2013-05-28","2018-10-11",14036,0,"1",0
"7957",738131,0,1845,"2013-09-23","2018-10-12",7956,0,"3",0
"137732",2022,0,1641,"2014-04-15","2018-10-12",137731,0,"1",0
"32394",7315,1,1527,"2014-06-03","2018-08-08",32393,0,"1",0
"124510",1136,0,1984,"2013-05-07","2018-10-12",124509,0,"1",0
"115480",1362,0,1429,"2014-06-26","2018-05-25",115479,1,"1",0
"68306",5673,0,697,"2016-11-14","2018-10-12",68305,0,"1",1
"25962",3995,0,2394,"2012-03-22","2018-10-11",25961,0,"1",0
"57765",947,0,1262,"2015-03-18","2018-08-31",57764,0,"1",0
"113016",1156,1,912,"2016-04-13","2018-10-12",113015,0,"1",0
