"","numeric_id_1","numeric_id_2"
"1",141493,61934
"2",157118,43461
"3",116648,122612
"4",116648,112659
"5",116648,88717
"6",116648,142456
"7",113417,119300
"8",113417,137208
"9",3181,43461
"10",40675,123985
"11",95914,122612
"12",95914,43461
"13",95914,16786
"14",95914,142456
"15",155127,116086
"16",155127,1778
"17",155127,92534
"18",155127,138744
"19",155127,74546
"20",155127,92904
"21",155127,113633
"22",155127,154333
"23",155127,16786
"24",155127,61934
"25",155127,37617
"26",155127,721
"27",155127,133957
"28",155127,92213
"29",155127,142456
"30",124827,142456
"31",124827,16786
"32",122269,165276
"33",75403,142456
"34",143081,122612
"35",143081,66515
"36",143081,43461
"37",159097,16786
"38",63150,150816
"39",78899,74546
"40",78899,61934
"41",71050,116086
"42",71050,138744
"43",71050,46602
"44",71050,119300
"45",71050,58888
"46",71050,102301
"47",71050,49481
"48",71050,45636
"49",71050,142456
"50",71050,92213
"51",112881,16786
"52",112881,142456
"53",57532,149410
"54",64605,61934
"55",64605,74546
"56",64605,45636
"57",64605,88717
"58",64605,49481
"59",64605,16786
"60",64605,66515
"61",64605,133957
"62",64605,142456
"63",105181,88717
"64",8079,49481
"65",6250,59174
"66",6250,138744
"67",6250,16786
"68",6250,49481
"69",6250,721
"70",6250,142456
"71",116867,142456
"72",125642,46602
"73",125642,16786
"74",125642,71573
"75",125642,63771
"76",125642,88717
"77",125642,119300
"78",125642,58888
"79",125642,102301
"80",125642,49481
"81",125642,45636
"82",125642,142456
"83",7329,3252
"84",7329,142456
"85",7329,57198
"86",48825,167776
"87",11816,92904
"88",90444,721
"89",34410,142456
"90",123018,122612
"91",123018,81547
"92",123018,123985
"93",123018,88717
"94",123018,114043
"95",123018,101990
"96",123018,49481
"97",123018,142456
"98",123018,22444
"99",123018,24153
"100",123018,92904
"101",123018,74546
"102",123018,16786
"103",123018,61934
"104",123076,46602
"105",22804,101990
"106",22804,114043
"107",56228,167776
"108",110430,17075
"109",42688,114257
"110",42688,159603
"111",98777,92213
"112",20079,113655
"113",68651,167961
"114",33417,167961
"115",90650,81547
"116",90650,43461
"117",90650,114257
"118",35358,122612
"119",35358,138744
