"","views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate"
"141494",42340657,0,3894,"2008-02-13","2018-10-12",141493,0,"EN",0
"116649",23934820,0,3170,"2010-02-06","2018-10-12",116648,0,"EN",0
"1680",56645,1,1774,"2013-11-30","2018-10-09",1679,0,"EN",1
"113418",103871823,0,2974,"2010-08-21","2018-10-12",113417,0,"EN",0
"145282",64698,1,757,"2016-09-15","2018-10-12",145281,0,"EN",1
"95915",8937266,1,1894,"2013-08-05","2018-10-12",95914,0,"EN",0
"155128",18896216,0,1080,"2015-10-28","2018-10-12",155127,0,"EN",0
"124828",22083762,0,2952,"2010-09-12","2018-10-12",124827,0,"EN",0
"75404",4523991,0,2501,"2011-12-07","2018-10-12",75403,0,"EN",0
"143082",89506813,0,2784,"2011-02-27","2018-10-12",143081,0,"EN",0
"44327",6215,1,1822,"2013-10-15","2018-10-11",44326,0,"EN",1
"59893",8208846,1,2505,"2011-12-03","2018-10-12",59892,0,"EN",0
"159098",2677249,0,2362,"2012-04-24","2018-10-12",159097,0,"EN",0
"63151",487264,0,316,"2017-11-30","2018-10-12",63150,0,"EN",0
"78900",12402139,1,3668,"2008-09-26","2018-10-12",78899,0,"EN",0
"35934",1613,0,477,"2017-06-21","2018-10-11",35933,0,"EN",1
"71051",218559516,0,2169,"2012-11-03","2018-10-12",71050,0,"EN",0
"110174",11638,1,1636,"2014-04-20","2018-10-12",110173,0,"EN",1
"3927",22456,1,1444,"2014-10-29","2018-10-12",3926,0,"EN",1
"146858",2451625,1,1384,"2014-12-28","2018-10-12",146857,0,"EN",0
"48678",11775,0,524,"2017-05-04","2018-10-10",48677,0,"EN",1
"83940",2966,1,1937,"2013-06-23","2018-10-12",83939,0,"EN",1
"29840",114707,1,501,"2017-05-29","2018-10-12",29839,0,"EN",1
"113252",5167,0,988,"2016-01-28","2018-10-12",113251,0,"EN",1
"112882",20253246,1,2959,"2010-09-05","2018-10-12",112881,0,"EN",0
"57533",19329654,0,2804,"2011-02-07","2018-10-12",57532,0,"EN",0
"64606",240718261,1,2516,"2011-11-22","2018-10-12",64605,0,"EN",0
"8080",26732356,0,2521,"2011-11-17","2018-10-12",8079,0,"EN",0
"134200",1718574,1,1937,"2013-06-23","2018-10-12",134199,0,"EN",0
"6251",84804681,1,1793,"2013-11-14","2018-10-12",6250,0,"EN",0
"116868",7820262,1,1787,"2013-11-20","2018-10-12",116867,0,"EN",0
"67521",38220,1,944,"2016-03-12","2018-10-12",67520,0,"EN",1
"125643",243451177,0,2507,"2011-12-01","2018-10-12",125642,0,"EN",0
"7330",41959110,1,919,"2016-04-06","2018-10-12",7329,0,"EN",0
"30269",8304212,1,2733,"2011-04-19","2018-10-12",30268,0,"EN",0
"11817",717298,1,1523,"2014-08-11","2018-10-12",11816,0,"EN",0
"34411",7720813,0,2596,"2011-09-03","2018-10-12",34410,0,"EN",0
"160611",6203,0,771,"2016-08-25","2018-10-05",160610,0,"EN",1
"123019",108115325,0,584,"2017-03-07","2018-10-12",123018,0,"EN",0
"123077",20685319,1,2136,"2012-12-06","2018-10-12",123076,0,"EN",0
"22805",1370787,0,1459,"2014-10-14","2018-10-12",22804,0,"EN",0
"117876",2419162,0,1244,"2015-05-17","2018-10-12",117875,0,"EN",0
"110431",104668,1,2379,"2012-04-07","2018-10-12",110430,0,"EN",1
"149070",19023687,1,2804,"2011-02-07","2018-10-12",149069,0,"EN",0
"32923",1996469,0,2298,"2012-06-27","2018-10-12",32922,0,"EN",0
"20080",1999,0,1374,"2015-01-07","2018-10-12",20079,0,"EN",0
"90651",64590161,0,2332,"2012-05-24","2018-10-12",90650,0,"EN",0
"35359",13420242,1,1793,"2013-11-14","2018-10-12",35358,0,"EN",0
"146734",60627015,0,3148,"2010-02-28","2018-10-12",146733,0,"EN",0
"8177",80783018,0,2864,"2010-12-09","2018-10-12",8176,0,"EN",0
"54064",16716663,1,3114,"2010-04-03","2018-10-12",54063,0,"EN",0
"58774",25063546,0,4124,"2007-06-28","2018-10-12",58773,0,"EN",0
"47596",204022,1,896,"2016-04-29","2018-10-12",47595,0,"EN",0
"23594",279420,0,2515,"2011-11-23","2018-10-12",23593,0,"EN",0
"51379",33426,1,2580,"2011-09-16","2018-10-09",51378,0,"EN",1
"32921",8013226,0,3402,"2009-06-19","2018-10-12",32920,0,"EN",0
"89018",38626,0,1439,"2014-11-03","2018-10-12",89017,0,"EN",1
"143946",39007172,0,2774,"2011-03-09","2018-10-12",143945,0,"EN",0
"82896",4963,1,2465,"2012-01-12","2018-10-12",82895,0,"PT",1
"31141",10667564,0,4161,"2007-05-22","2018-10-12",31140,0,"EN",0
"56353",21717613,0,2738,"2011-04-14","2018-10-12",56352,0,"EN",0
"156783",6019940,1,3208,"2009-12-30","2018-10-12",156782,0,"EN",0
"47644",31189,1,839,"2016-06-25","2018-10-12",47643,0,"EN",1
"75159",5484686,0,1698,"2014-02-17","2018-10-12",75158,0,"EN",0
"100029",8518235,0,3051,"2010-06-05","2018-10-12",100028,0,"EN",0
"114670",3009234,1,1708,"2014-02-07","2018-10-12",114669,0,"EN",0
"83692",46682923,0,2632,"2011-07-29","2018-10-12",83691,0,"EN",0
"32339",202142952,0,2702,"2011-05-20","2018-10-12",32338,0,"EN",0
"40789",97002,1,1066,"2015-11-11","2018-10-12",40788,0,"EN",1
"142025",85524,1,967,"2016-02-18","2018-10-12",142024,0,"EN",1
"22812",206621,1,1820,"2013-10-18","2018-10-12",22811,0,"EN",0
"25103",6951870,1,2331,"2012-05-25","2018-10-12",25102,0,"EN",0
"20372",20072,0,1053,"2015-11-15","2018-10-03",20371,0,"EN",1
"61863",340602050,0,2826,"2011-01-16","2018-10-12",61862,0,"EN",0
"157848",80361,1,1140,"2015-08-29","2018-10-12",157847,0,"EN",1
"37819",17907970,0,2744,"2011-04-08","2018-10-12",37818,0,"EN",0
"125504",926412,0,1556,"2014-07-09","2018-10-12",125503,0,"EN",0
"32284",36154917,1,3207,"2009-12-31","2018-10-12",32283,0,"EN",0
"62569",13535821,1,2152,"2012-11-20","2018-10-12",62568,0,"EN",0
"55193",15814669,0,1651,"2014-04-05","2018-10-12",55192,0,"EN",0
