"","views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate"
"496",7048,0,1990,"2013-05-01","2018-10-12",495,0,"EN",1
"95698",197145,1,2141,"2012-11-25","2018-10-06",95697,0,"EN",0
"83940",2966,1,1937,"2013-06-23","2018-10-12",83939,0,"EN",1
"6251",84804681,1,1793,"2013-11-14","2018-10-12",6250,0,"EN",0
"87272",32861608,1,3820,"2008-04-27","2018-10-12",87271,0,"EN",0
"23506",7448777,0,3556,"2009-01-16","2018-10-12",23505,0,"EN",0
"123415",12263,1,1347,"2015-02-03","2018-10-12",123414,0,"EN",1
"48391",17142,1,3415,"2009-06-06","2018-10-12",48390,0,"EN",1
"31983",121384763,0,1030,"2015-12-17","2018-10-12",31982,0,"EN",0
"149169",833,0,1678,"2014-03-09","2018-10-12",149168,0,"EN",1
"162212",532672,1,1427,"2014-11-15","2018-10-12",162211,0,"EN",0
"102736",23566,1,3262,"2009-11-05","2018-10-11",102735,0,"EN",1
"43169",12144180,0,1128,"2015-09-10","2018-10-12",43168,0,"PL",0
"45478",18598407,0,1971,"2013-05-20","2018-10-12",45477,0,"PL",0
"61783",24535389,0,1355,"2015-01-26","2018-10-12",61782,0,"PL",0
"133936",20665,0,1276,"2015-04-14","2018-10-11",133935,0,"EN",1
"148670",3963013,0,2246,"2012-08-18","2018-10-12",148669,0,"EN",0
"90127",3291,0,1865,"2013-09-03","2018-10-12",90126,0,"EN",1
"117",13003233,0,3039,"2010-06-17","2018-10-12",116,0,"EN",0
"29796",110956,0,2285,"2012-07-10","2018-10-12",29795,0,"DE",1
"51509",6987159,1,2155,"2012-11-17","2018-10-12",51508,0,"EN",0
"63156",5462,1,2533,"2011-11-05","2018-10-12",63155,0,"EN",1
"54379",1567321,1,1884,"2013-08-15","2018-10-12",54378,0,"EN",0
"78071",153192,1,1681,"2014-03-06","2018-10-12",78070,0,"EN",1
"122041",19341,1,1228,"2015-06-02","2018-10-12",122040,0,"EN",1
"160609",12661334,0,3051,"2010-06-05","2018-10-12",160608,0,"EN",0
"31737",6208,0,2403,"2012-03-14","2018-10-12",31736,0,"DE",1
"24152",5528,1,1382,"2014-12-30","2018-10-12",24151,0,"EN",0
"133029",1097588,1,2388,"2012-03-29","2018-10-12",133028,0,"EN",0
"47259",5050,1,2466,"2011-12-22","2018-09-22",47258,0,"EN",0
"13628",12827,1,2418,"2012-02-17","2018-10-01",13627,0,"EN",1
"97720",8102,1,1932,"2013-06-26","2018-10-10",97719,0,"EN",1
"29553",8451,0,2067,"2013-02-12","2018-10-11",29552,0,"DE",0
"55266",76540,1,3007,"2010-07-17","2018-10-10",55265,0,"EN",1
"163257",35345,1,2371,"2012-04-15","2018-10-12",163256,0,"EN",0
"2457",13049,1,3541,"2009-01-27","2018-10-08",2456,0,"EN",1
"63073",757,1,3024,"2010-06-23","2018-10-03",63072,0,"EN",0
"166764",1288,1,2831,"2010-12-16","2018-09-16",166763,0,"EN",0
"93522",967,1,2060,"2012-11-01","2018-06-23",93521,1,"EN",0
"49209",2862,0,2090,"2013-01-02","2018-09-23",49208,0,"EN",0
"142634",21579,0,3584,"2008-12-14","2018-10-07",142633,0,"EN",1
"91041",30281816,0,1866,"2013-09-02","2018-10-12",91040,0,"EN",0
"3788",936985,1,1498,"2014-09-05","2018-10-12",3787,0,"EN",0
"43818",2047334,1,1987,"2013-05-04","2018-10-12",43817,0,"EN",0
"105098",12402923,0,2437,"2012-02-09","2018-10-12",105097,0,"EN",0
"50010",1725423,1,3102,"2010-04-15","2018-10-12",50009,0,"EN",0
"14042",2678695,0,1506,"2014-08-28","2018-10-12",14041,0,"DE",0
"145632",6541485,1,1477,"2014-09-26","2018-10-12",145631,0,"DE",0
"64491",14454745,0,2053,"2013-02-27","2018-10-12",64490,0,"DE",0
"146778",2496,0,1718,"2014-01-28","2018-10-12",146777,0,"EN",0
"152976",7811698,1,3284,"2009-10-15","2018-10-12",152975,0,"EN",0
"136306",54492,1,2073,"2013-01-30","2018-10-04",136305,0,"EN",1
"118671",7970,0,2162,"2012-11-10","2018-10-12",118670,0,"EN",0
"123698",228096,0,1881,"2013-08-18","2018-10-12",123697,0,"EN",0
"22859",866865,1,1771,"2013-12-06","2018-10-12",22858,0,"EN",0
"142358",4438548,0,1503,"2014-08-31","2018-10-12",142357,0,"FR",0
"85650",342,1,2910,"2010-10-08","2018-09-26",85649,0,"FR",0
"31974",2626579,1,1994,"2013-04-27","2018-10-12",31973,0,"DE",0
"38474",3841,0,1445,"2014-10-28","2018-10-12",38473,0,"DE",1
"20056",11496,1,2472,"2012-01-05","2018-10-12",20055,0,"EN",1
"90369",1102,0,1596,"2014-05-26","2018-10-08",90368,0,"ES",0
"84778",491710,0,2273,"2012-07-21","2018-10-11",84777,0,"EN",0
"118894",2240,1,2422,"2012-02-22","2018-10-10",118893,0,"EN",1
"139086",4590,1,1630,"2014-04-18","2018-10-04",139085,0,"EN",0
"96987",26913,1,3011,"2010-07-15","2018-10-12",96986,0,"EN",1
"23125",40456523,0,1482,"2014-09-21","2018-10-12",23124,0,"EN",0
"70080",270120,1,2298,"2012-05-04","2018-08-19",70079,0,"EN",0
"59418",340,1,1579,"2014-06-16","2018-10-12",59417,0,"EN",0
"93319",85132741,1,2881,"2010-11-22","2018-10-12",93318,0,"EN",0
"48738",39857,0,2169,"2012-09-23","2018-09-01",48737,0,"EN",0
"116774",12852,0,1716,"2014-01-30","2018-10-12",116773,0,"EN",0
"6098",1174264,0,2587,"2011-09-12","2018-10-12",6097,0,"EN",0
"10757",2274487,0,2152,"2012-11-20","2018-10-12",10756,0,"ZH",0
"129957",357677,1,2058,"2013-02-22","2018-10-12",129956,0,"EN",0
"98314",10858,0,2661,"2011-06-18","2018-09-30",98313,0,"EN",0
"162375",6430952,0,2106,"2013-01-05","2018-10-12",162374,0,"EN",0
"53140",1879073,0,2210,"2012-09-23","2018-10-12",53139,0,"EN",0
"127052",85567,1,3321,"2009-09-06","2018-10-10",127051,0,"EN",0
"155202",741,1,2500,"2011-11-06","2018-09-10",155201,0,"EN",0
"56211",10823,0,1890,"2013-08-03","2018-10-06",56210,0,"EN",0
"165715",40973,1,1468,"2014-10-05","2018-10-12",165714,0,"EN",1
"59374",5581576,0,1773,"2013-12-04","2018-10-12",59373,0,"EN",0
"60576",37017,1,2385,"2012-04-01","2018-10-12",60575,0,"EN",1
"140587",2439555,1,1552,"2014-07-13","2018-10-12",140586,0,"EN",0
"102135",1489982,0,2088,"2013-01-21","2018-10-10",102134,0,"EN",0
"166664",2094424,1,2264,"2012-07-31","2018-10-12",166663,0,"EN",0
"109851",49573,1,639,"2017-01-08","2018-10-09",109850,0,"DE",1
"165617",11739,1,1588,"2014-06-07","2018-10-12",165616,0,"EN",0
"146611",210187,0,1274,"2015-04-17","2018-10-12",146610,0,"EN",0
"145913",1738,0,1746,"2013-12-29","2018-10-10",145912,0,"EN",0
"48869",1284453,1,2806,"2011-02-05","2018-10-12",48868,0,"EN",0
"160862",94663,1,1510,"2014-08-24","2018-10-12",160861,0,"EN",0
"72334",5729,0,2040,"2013-03-12","2018-10-12",72333,0,"JA",0
"87660",5366,1,2255,"2012-08-09","2018-10-12",87659,0,"EN",1
"146098",3182,0,2090,"2012-10-14","2018-07-05",146097,1,"EN",0
"154876",15340,0,2595,"2011-09-03","2018-10-11",154875,0,"EN",0
"107582",7390,0,1226,"2015-05-31","2018-10-08",107581,0,"ES",1
"89425",24836,1,2026,"2013-03-21","2018-10-07",89424,0,"EN",0
"156479",22021,1,1298,"2015-03-24","2018-10-12",156478,0,"EN",1
"127046",1832,0,1947,"2013-06-08","2018-10-07",127045,0,"EN",0
"13072",474,1,2130,"2012-11-08","2018-09-08",13071,0,"EN",0
"54280",4360,1,3812,"2008-04-25","2018-10-02",54279,0,"EN",0
"92217",15668,1,2332,"2012-05-24","2018-10-12",92216,0,"EN",1
"133506",634,1,2361,"2012-04-20","2018-10-07",133505,0,"EN",0
"131580",5025,0,2211,"2012-08-30","2018-09-19",131579,0,"DE",0
"150950",22061,1,2028,"2013-03-12","2018-09-30",150949,0,"EN",1
"29573",170,0,1891,"2013-07-09","2018-09-12",29572,0,"FR",0
"118339",20938,0,2758,"2011-03-25","2018-10-12",118338,0,"EN",1
"29719",12439,1,1531,"2014-08-03","2018-10-12",29718,0,"DE",1
"132560",2042,1,2536,"2011-11-02","2018-10-12",132559,0,"EN",1
"30272",3718,0,2024,"2013-02-01","2018-08-18",30271,0,"NL",0
"24583",339557,1,2099,"2013-01-12","2018-10-12",24582,0,"EN",0
"379",1060,1,1931,"2013-06-25","2018-10-08",378,0,"EN",0
"128693",2239,1,2482,"2011-12-19","2018-10-05",128692,0,"IT",1
"59914",489,0,2452,"2012-01-15","2018-10-02",59913,0,"EN",0
"106486",23999,1,2270,"2012-07-03","2018-09-20",106485,0,"FR",0
"121325",2565,0,2417,"2012-02-29","2018-10-12",121324,0,"EN",0
"63589",757,0,1978,"2013-04-19","2018-09-18",63588,0,"EN",0
