"","views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate"
"1",7879,1,969,"2016-02-16","2018-10-12",0,0,"EN",1
"2",500,0,2699,"2011-05-19","2018-10-08",1,0,"EN",0
"3",382502,1,3149,"2010-02-27","2018-10-12",2,0,"EN",1
"4",386,0,1344,"2015-01-26","2018-10-01",3,0,"EN",0
"5",2486,0,1784,"2013-11-22","2018-10-11",4,0,"EN",0
"6",4987,1,1288,"2015-04-03","2018-10-12",5,0,"EN",1
"7",234,0,358,"2017-09-14","2018-09-07",6,0,"EN",0
"8",775,1,577,"2017-03-14","2018-10-12",7,0,"FR",0
"9",69020,0,1781,"2013-11-22","2018-10-08",8,0,"EN",0
"10",32073,0,499,"2017-05-31","2018-10-12",9,0,"KO",1
"11",94,0,1879,"2013-08-17","2018-10-09",10,0,"EN",0
"12",10254468,0,1715,"2014-01-31","2018-10-12",11,0,"EN",0
"13",2178,0,908,"2016-04-16","2018-10-11",12,0,"JA",0
"14",4871,0,449,"2017-07-19","2018-10-11",13,0,"EN",0
"15",2002,0,1910,"2013-05-17","2018-08-09",14,0,"RU",0
"16",33882,1,2134,"2012-12-08","2018-10-12",15,0,"EN",1
"17",200,0,324,"2017-10-21","2018-09-10",16,0,"EN",0
"18",11624,1,2299,"2012-06-15","2018-10-01",17,0,"EN",0
"19",1160,0,1050,"2015-11-26","2018-10-11",18,0,"EN",0
"20",144812,1,2175,"2012-10-28","2018-10-12",19,0,"EN",1
"21",1885,1,2273,"2012-07-21","2018-10-11",20,0,"EN",1
"22",52160,0,2845,"2010-12-27","2018-10-11",21,0,"EN",0
"23",212680,1,2056,"2013-02-24","2018-10-12",22,0,"PL",0
"24",14538,0,998,"2016-01-16","2018-10-10",23,0,"RU",1
"25",339218,1,1868,"2013-08-31","2018-10-12",24,0,"EN",1
"26",1025,0,1207,"2015-06-18","2018-10-07",25,0,"DE",0
"27",9528,0,1459,"2014-10-14","2018-10-12",26,0,"EN",1
"28",2802,1,1931,"2013-06-29","2018-10-12",27,0,"EN",0
"29",162078,1,2149,"2012-11-23","2018-10-12",28,0,"DE",1
"30",2585,1,861,"2016-06-02","2018-10-11",29,0,"FR",0
"31",1370,1,1574,"2014-05-24","2018-09-14",30,0,"DE",0
"32",4405,0,1522,"2014-08-08","2018-10-08",31,0,"ES",1
"33",21502,0,2729,"2011-04-08","2018-09-27",32,0,"EN",0
"34",745,0,1027,"2015-12-20","2018-10-12",33,0,"EN",0
"35",17042,1,961,"2016-02-23","2018-10-11",34,0,"IT",1
"36",2559,0,2066,"2013-01-21","2018-09-18",35,0,"EN",0
"37",5950,1,3394,"2009-06-27","2018-10-12",36,0,"EN",1
"38",8231,0,1648,"2014-04-03","2018-10-07",37,0,"EN",1
"39",879,1,1139,"2015-08-29","2018-10-11",38,0,"EN",0
"40",3615,1,1629,"2014-04-25","2018-10-10",39,0,"EN",1
"41",2497,1,1020,"2015-12-27","2018-10-12",40,0,"EN",1
"42",19442,1,2185,"2012-10-18","2018-10-12",41,0,"EN",0
"43",8541,1,1738,"2014-01-07","2018-10-11",42,0,"RU",0
"44",3874,0,1010,"2016-01-06","2018-10-12",43,0,"EN",1
"45",14944,0,2081,"2013-01-13","2018-09-25",44,0,"EN",0
"46",46546,1,411,"2017-08-27","2018-10-12",45,0,"EN",1
"47",711,1,1948,"2013-06-10","2018-10-10",46,0,"EN",0
"48",9273,0,1101,"2015-10-06","2018-10-11",47,0,"EN",1
"49",1566,0,523,"2017-05-06","2018-10-11",48,0,"FR",1
"50",5667,0,1684,"2014-02-20","2018-10-01",49,0,"EN",1
"51",123420,0,1000,"2016-01-16","2018-10-12",50,0,"EN",1
"52",5863,1,953,"2016-02-29","2018-10-09",51,0,"EN",1
"53",370,0,3310,"2009-09-19","2018-10-12",52,0,"EN",0
